Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.00,0.00,0.00,0.00,1000000,0.00
2013-09-19,0.00,0.00,0.00,0.00,000,0.00
2013-09-18,0.00,0.00,0.00,0.00,250000,0.00
2013-09-17,0.00,0.00,0.00,0.00,000,0.00
2013-09-16,0.00,0.00,0.00,0.00,000,0.00
2013-09-13,0.00,0.00,0.00,0.00,000,0.00
2013-09-12,0.00,0.00,0.00,0.00,000,0.00
2013-09-11,0.00,0.00,0.00,0.00,000,0.00
2013-09-10,0.00,0.00,0.00,0.00,2118800,0.00
2013-09-09,0.00,0.00,0.00,0.00,000,0.00
2013-09-06,0.00,0.00,0.00,0.00,1300000,0.00
2013-09-05,0.00,0.00,0.00,0.00,2750000,0.00
2013-09-04,0.00,0.00,0.00,0.00,350000,0.00
2013-09-03,0.00,0.00,0.00,0.00,000,0.00
2013-09-02,0.00,0.00,0.00,0.00,400000,0.00
2013-08-30,0.00,0.00,0.00,0.00,000,0.00
2013-08-29,0.00,0.00,0.00,0.00,000,0.00
2013-08-28,0.00,0.00,0.00,0.00,000,0.00
2013-08-27,0.00,0.00,0.00,0.00,000,0.00
2013-08-26,0.00,0.00,0.00,0.00,000,0.00
2013-08-23,0.00,0.00,0.00,0.00,000,0.00
2013-08-22,0.00,0.00,0.00,0.00,200000,0.00
2013-08-21,0.00,0.00,0.00,0.00,1675000,0.00
2013-08-20,0.00,0.00,0.00,0.00,000,0.00
2013-08-19,0.00,0.00,0.00,0.00,000,0.00
2013-08-16,0.00,0.00,0.00,0.00,000,0.00
2013-08-15,0.00,0.00,0.00,0.00,000,0.00
2013-08-14,0.00,0.00,0.00,0.00,5300000,0.00
2013-08-13,0.00,0.00,0.00,0.00,000,0.00
2013-08-12,0.00,0.00,0.00,0.00,000,0.00
2013-08-09,0.00,0.00,0.00,0.00,000,0.00
2013-08-08,0.00,0.00,0.00,0.00,000,0.00
2013-08-07,0.00,0.00,0.00,0.00,000,0.00
2013-08-06,0.00,0.00,0.00,0.00,000,0.00
2013-08-05,0.00,0.00,0.00,0.00,000,0.00
2013-08-02,0.00,0.00,0.00,0.00,250000,0.00
2013-08-01,0.00,0.00,0.00,0.00,000,0.00
2013-07-31,0.00,0.00,0.00,0.00,000,0.00
2013-07-30,0.00,0.00,0.00,0.00,000,0.00
2013-07-29,0.00,0.00,0.00,0.00,2000000,0.00
2013-07-26,0.00,0.00,0.00,0.00,500000,0.00
2013-07-25,0.00,0.00,0.00,0.00,000,0.00
2013-07-24,0.00,0.00,0.00,0.00,000,0.00
2013-07-23,0.00,0.00,0.00,0.00,000,0.00
2013-07-19,0.00,0.00,0.00,0.00,000,0.00
2013-07-18,0.00,0.00,0.00,0.00,000,0.00
2013-07-17,0.00,0.00,0.00,0.00,000,0.00
2013-07-16,0.00,0.00,0.00,0.00,500000,0.00
2013-07-15,0.00,0.00,0.00,0.00,000,0.00
2013-07-12,0.00,0.00,0.00,0.00,000,0.00
2013-07-11,0.00,0.00,0.00,0.00,000,0.00
2013-07-10,0.00,0.00,0.00,0.00,000,0.00
2013-07-09,0.00,0.00,0.00,0.00,000,0.00
2013-07-08,0.00,0.00,0.00,0.00,22700,0.00
